clip_limit,ssim,psnr
0.5,0.8089,15.00
0.8,0.8013,15.31
1.0,0.7916,15.61
1.2,0.7801,15.87
1.5,0.7674,16.09
1.8,0.7547,16.28
2.0,0.7418,16.41
2.2,0.7288,16.50
